Secondary Sources,
"Bull, Sarah. Advertising Pornography, 1822-1870. (forthcoming dataset package)",
"Bull, Sarah and Cameron Wheeler. Obscenity Trials, 1800-1900. (in-progress dataset)",
"Catalogue des Ecrits, Gravures et Dessins condamnés depuis 1814 jusqu'au 1er janvier 1850. Paris: Chez Pillet fils ainé, 1850",
"Colligan, Colette. ""The Case of Henriette Doucé."" The Routledge Handbook of Translation and Sexuality, ed. Brian James Baer and Serena Bassi. Routledge, 2024.",
"Colligan, Colette.""Digital Discovery and Fake Imprints: Unmasking Turn-of-the-Century Pornographers in Paris."" Book History 22, no. 1 (2019): 249-279.",
"Colligan, Colette. A Publisher's Paradise: Expatriate Literary Culture in Paris, 1890-1960. University of Massachusetts Press, 2014.",
"Bull, Sarah. Selling Sexual Knowledge: Medical Publishing and Obscenity in Victorian Britain. Cambridge University Press, 2025.",
"Mendes, Peter. Clandestine Erotic Fiction in English 1800–1930: A Bibliographical Study. [1993] Routledge, 2016.",
"McCalman, Iain. Radical Underworld: Prophets, Revolutionaries and Pornographers in London, 1795-1840. Cambridge University Press, 1988",
"McCalman, Iain, and Maureen Mee. An Oxford Companion to the Romantic Age (Oxford University Press, 2001).",
"Perry, Shery. The Eroticabibliophile.  <https://eroticabibliophile.com/>",
"Drujon, Fernand. Catalogue des ouvrages écrits et dessins de toute nature poursuivis, supprimés ou condamnés […]. E. Rouveyre (Paris), 1879.",
Newspaper Sources ,
Source_ID,Reference
BNF Retronews 001,1846-08-02_Le_Droit
BNF Retronews 002,1846-06-09_Gazette_nationale_ou_le_Moniteur_universel
BNF Retronews 003,1843-02-26_Le_Droit
